property_type,area_m2,price_usd,lat,lon,state
apartment,174,89430.16,19.368553,-99.178235,Gilgit
house,93,59022.85,20.5828187131,-100.417855382,Gilgit
apartment,102,177267.41,19.427607,-99.160835,Gilgit
house,144,71126.75,16.770111,-93.08167,Chiapas
apartment,70,79029.72,19.460046,-99.140495,Gilgit
house,200,123842.59,18.9015371,-98.9336558,Hunza
house,140,84298.37,16.748295,-93.084284,Chiapas
house,123,85178.23,20.5198184,-100.3933074,Gilgit
house,150,86932.69,18.890867,-99.177444,Hunza
house,74,33350.54,19.682383,-98.984458,Karachi de Pakistan
house,300,237089.17,20.582091,-100.391196,Gilgit
apartment,164,184446.42,19.0733273,-98.2658243,Chalt
house,220,136984.85,21.161908,-86.8515279,Quintana Roo
apartment,129,137017.34,18.949474,-99.232381,Hunza
house,71,36353.67,18.795519,-99.231445,Hunza
house,290,115910.26,25.484016,-100.966568,Islamabad
house,280,205477.28,20.536322,-100.436844,Gilgit
house,182,68492.42,19.343424,-99.135933,Gilgit
house,329,104343.97,19.274727,-103.74485,Colima
house,110,59022.85,20.5412697,-100.3997814,Gilgit
house,310,237145.4,25.7296370244,-100.2941036224,Rawalpindi
house,250,68492.42,18.835054,-98.951226,Hunza
apartment,81,149629.61,19.368475,-99.17952,Gilgit
house,210,85949.19,19.285891,-99.108269,Gilgit
apartment,150,222924.2,19.392302,-99.154385,Gilgit
house,96,138598.31,19.2925929444,-99.1806221008,Gilgit
house,260,122525.12,20.5426931,-100.4512523,Gilgit
house,239,138334.81,19.0652948,-96.069905,Islamabad
house,275,163328.09,20.6129,-103.464564,Jalalabad
apartment,192,121207.64,18.983398,-98.288951,Chalt
house,260,68492.42,19.657836,-101.184317,Chiapas
house,126,77467.49,21.03071,-89.618103,Sindh
house,190,63223.78,19.710472,-101.222626,Chiapas
house,230,289775.66,19.476202,-99.261893,Karachi de Pakistan
house,182,326733.66,28.663404,-106.133102,Chihuahua
house,206,168596.74,20.726262,-103.468575,Jalalabad
house,125,60589.45,19.137135,-96.112946,Islamabad
house,210,202842.96,19.5224623443,-99.2515909641,Karachi de Pakistan
apartment,132,93781.94,20.696185,-100.450005,Gilgit
house,116,84087.62,20.092012,-98.741743,KPK
house,102,33982.78,32.601212,-115.474838,Danyore
house,370,192305.66,16.765467,-93.105786,Chiapas
house,195,91632.19,21.039522,-89.563911,Sindh
apartment,100,55847.67,18.989942,-98.247486,Chalt
house,130,68492.42,18.898756,-96.998779,Islamabad
house,232,125393.83,19.119549,-96.107643,Islamabad
house,90,136405.3,19.353288,-99.244721,Gilgit
house,168,104319.23,22.1385005078,-100.9965722937,San Luis Potosí
house,162,57955.13,29.083198,-110.993222,Sonora
house,165,111331.75,19.044477,-98.328011,Chalt
house,171,141199.77,19.510133,-99.100025,Gilgit
house,168,67438.69,18.850763,-98.943855,Hunza
house,98,43213.16,25.758372724,-100.2713531256,Rawalpindi
house,260,163328.09,20.726007,-100.442642,Gilgit
house,150,205526.01,19.5562275,-99.2674713,Karachi de Pakistan
apartment,60,46943.65,19.345528,-99.189906,Gilgit
house,300,289775.66,18.935198,-99.232834,Hunza
house,156,99577.45,19.03362,-98.203294,Chalt
house,256,184446.42,19.229864,-99.597954,Karachi de Pakistan
house,330,171271.67,21.039522,-89.563911,Sindh
house,220,205477.28,18.936026,-99.216217,Hunza
house,182,81664.04,18.053865,-92.937809,Tabasco
house,164,62711.78,20.9968241,-89.5846761,Sindh
house,162,47417.83,20.984423,-89.579231,Sindh
house,120,51369.32,18.864874,-98.925911,Hunza
house,317,173906.62,19.40112,-99.06707,Gilgit
house,185,146995.28,20.705742,-100.444016,Gilgit
house,220,184446.42,24.813503,-107.371574,Sinaloa
apartment,91,101182.03,18.935198,-99.232834,Hunza
house,96,57705.38,21.012869,-89.636932,Sindh
apartment,120,163366.83,21.1672703,-86.8414848,Quintana Roo
house,180,184446.42,18.948607,-99.243812,Hunza
house,180,102738.64,18.95299,-99.259592,Hunza
house,90,68245.17,18.8816687,-99.1632665,Hunza
house,243,200208.63,20.5884382058,-100.4006266594,Gilgit
house,170,38470.25,20.9973786,-89.6296213,Sindh
apartment,83,147522.15,19.33923,-99.218987,Gilgit
house,239,226551.88,16.766967,-93.123362,Chiapas
house,200,115410.76,28.631689,-106.102234,Chihuahua
house,335,250260.79,20.58966,-100.366899,Gilgit
house,210,141990.07,18.862602,-99.213448,Hunza
apartment,90,57428.26,20.59808,-100.337153,Gilgit
apartment,75,34254.33,21.1789333275,-86.8123199791,Quintana Roo
apartment,117,140741.38,25.6689477,-100.3536491,Rawalpindi
house,147,92750.2,16.862803,-99.894829,Danyore
apartment,134,173865.39,23.296583,-106.479973,Sinaloa
house,133,76150.02,21.0012449,-89.5674103,Sindh
house,69,44783.51,19.666832,-99.236992,Karachi de Pakistan
house,101,210795.91,25.668703,-100.405373,Rawalpindi
house,350,262115.25,20.663444,-103.426533,Jalalabad
apartment,130,171231.07,19.521015,-99.23091,Karachi de Pakistan
house,180,86932.69,23.286216,-106.427007,Sinaloa
house,200,70283.76,19.422676,-99.257774,Karachi de Pakistan
house,254,171271.67,19.6378074,-99.1995969,Karachi de Pakistan
house,279,131716.2,20.084376,-98.367993,KPK
house,110,73234.21,18.850763,-98.943855,Hunza
house,73,43729.78,19.300923,-99.713636,Karachi de Pakistan
apartment,70,41680.96,19.444723,-99.186447,Gilgit
house,380,257531.53,19.403597,-99.149771,Gilgit
house,298,168069.88,19.66869,-101.205173,Chiapas
apartment,63,36817.31,32.486292,-117.054763,Danyore
apartment,180,237145.4,20.705671,-103.396278,Jalalabad
house,354,266975.89,16.8583631,-99.8508616,Danyore
apartment,76,84298.37,19.1005941575,-96.1070613563,Islamabad
apartment,75,105397.95,19.479437,-99.236561,Karachi de Pakistan
house,240,183348.96,18.981213,-99.206345,Hunza
house,172,86953.31,20.624242,-100.390194,Gilgit
apartment,113,153686.47,19.508253,-99.254997,Karachi de Pakistan
house,155,52159.61,19.533955,-99.228287,Karachi de Pakistan
apartment,82,154987.69,19.394073,-99.153915,Gilgit
house,110,84298.37,18.878128,-99.187238,Hunza
apartment,63,113302.8,20.5862687746,-100.3786790371,Gilgit
house,60,34773.07,18.961286,-99.212621,Hunza
house,254,147557.13,20.628052,-100.404541,Gilgit
house,264,172852.64,18.660893,-91.7663706,Campeche
house,192,126477.54,19.0652948,-96.069905,Islamabad
house,72,35988.5,22.285725,-97.843597,Gilgit
apartment,70,107322.36,19.305984,-99.127341,Gilgit
house,197,49999.47,19.361792,-99.190096,Gilgit
house,105,50517.24,22.1877626295,-100.962767601,San Luis Potosí
apartment,105,93856.88,20.726007,-100.442642,Gilgit
apartment,70,41095.45,19.417636,-99.153292,Gilgit
house,140,42623.36,19.570101,-96.918228,Islamabad
house,97,50052.15,18.885313,-99.062879,Hunza
apartment,129,92750.2,22.148722,-101.00119,San Luis Potosí
house,73,37670.83,18.985688,-98.230121,Chalt
apartment,100,313695.32,19.427053,-99.256293,Karachi de Pakistan
apartment,68,49051.11,19.446256,-99.147767,Gilgit
house,220,165172.12,21.4581695,-104.8877876,Faisalabad
apartment,70,121178.91,19.333974,-99.240363,Gilgit
apartment,155,226551.88,19.379597,-99.293808,Karachi de Pakistan
house,354,208111.61,22.139618,-101.032422,San Luis Potosí
house,80,127880.63,19.552184,-99.251489,Karachi de Pakistan
apartment,80,44794.13,20.5365909,-100.4411011,Gilgit
apartment,133,59426.13,19.445032,-99.140207,Gilgit
house,192,125920.69,19.54235,-99.19195,Karachi de Pakistan
apartment,80,91411.04,19.377404,-99.193301,Gilgit
apartment,185,157917.19,16.858816,-99.857628,Danyore
house,211,81137.18,23.231522,-106.382439,Sinaloa
house,250,105397.95,21.006756,-89.570984,Sindh
apartment,145,81664.04,16.850374,-99.850166,Danyore
house,180,110667.85,18.141083,-94.458733,Islamabad
house,299,231820.52,18.989918,-98.2295,Chalt
house,140,47417.83,25.540674,-103.393252,Islamabad
house,240,138058.14,21.039522,-89.563911,Sindh
apartment,102,187081.37,19.336697,-99.152534,Gilgit
house,187,134350.53,20.697427,-100.444385,Gilgit
apartment,70,66911.83,19.451872,-99.173522,Gilgit
house,239,132769.93,19.262129,-99.602481,Karachi de Pakistan
apartment,72,40645.77,19.2790911,-99.2114234,Gilgit
house,84,65858.1,20.647398,-105.209682,Jalalabad
house,151,237145.4,23.634501,-102.552788,Tabasco
house,177,115937.75,20.5887932,-100.3898881,Gilgit
apartment,116,171231.07,19.028651,-98.258029,Chalt
apartment,60,38812.39,19.493713,-99.204941,Gilgit
house,181,129112.49,19.11819,-96.107956,Islamabad
house,175,115937.75,18.147928788,-94.4772926867,Islamabad
house,370,316193.86,19.4907003,-99.2553635,Karachi de Pakistan
apartment,73,106110.57,25.672309,-100.374119,Rawalpindi
house,220,150156.47,19.542509,-99.218987,Karachi de Pakistan
house,235,171231.07,19.671952,-101.175638,Chiapas
house,176,62170.05,19.297108,-103.737602,Colima
house,170,95499.52,32.421957,-117.033513,Danyore
house,73,36783.88,18.855343,-99.241142,Hunza
house,185,189716.32,18.939657,-99.20237,Hunza
house,200,228450.07,19.345431,-99.209949,Gilgit
house,127,131747.44,25.660103,-100.410858,Rawalpindi
house,110,143834.1,19.564925,-99.218415,Karachi de Pakistan
house,281,152790.8,25.652299,-100.266174,Rawalpindi
apartment,75,34421.81,19.452665,-99.121497,Gilgit
apartment,72,48471.56,16.869995,-99.869568,Danyore
house,185,82717.77,16.768602,-93.164162,Chiapas
house,120,63223.78,23.634501,-102.552788,KPK
house,200,158059.45,19.317622,-99.607241,Karachi de Pakistan
house,168,115937.75,16.850374,-99.850166,Danyore
apartment,144,79048.46,21.0306572,-89.5945502,Sindh
house,90,131716.2,19.359798,-99.161675,Gilgit
house,182,68492.42,19.3434226,-99.1359301,Gilgit
apartment,91,79029.72,19.4503249,-99.1351802,Gilgit
house,76,35826.8,22.3918646281,-97.9089224339,Gilgit
apartment,75,36882.11,19.307417,-99.125191,Gilgit
house,245,92201.34,24.0277202,-104.6531759,Danyore
apartment,120,59711.33,19.374843,-99.293871,Karachi de Pakistan
apartment,140,73234.21,22.1352302,-101.0266343,San Luis Potosí
house,348,155425.12,25.577366,-103.437088,Islamabad
house,300,142253.5,19.517859,-96.891403,Islamabad
house,290,208111.61,20.605692,-100.38488,Gilgit
house,180,50064.02,22.158050728,-100.9284004569,San Luis Potosí
house,162,89567.02,18.847519,-99.220529,Hunza
house,190,94331.17,19.119549,-96.107643,Islamabad
house,300,207057.88,19.301835,-99.206377,Gilgit
house,215,163366.83,16.756552,-93.181732,Chiapas
house,80,34246.21,18.813505,-98.953514,Hunza
house,160,115937.75,19.8301251,-90.5349087,Campeche
house,271,179134.04,20.592563,-100.371039,Gilgit
house,169,84054.87,20.044181,-99.34648,KPK
apartment,80,85899.33,19.396893,-99.152302,Gilgit
house,230,131716.2,20.615292,-103.312843,Jalalabad
house,167,68492.42,21.202881,-101.679077,Guanajuato
house,349,200256.11,21.0315095,-89.600513,Sindh
house,272,260798.09,19.33981,-99.216052,Gilgit
house,347,292796.2,25.6773984,-100.3940095,Rawalpindi
house,305,194986.21,21.0344135,-89.5978127,Sindh
house,270,255590.04,18.936026,-99.216217,Hunza
house,75,35563.37,20.607178,-100.335754,Gilgit
house,218,255529.44,19.470298,-99.272488,Karachi de Pakistan
house,340,250260.79,19.522923,-99.241837,Karachi de Pakistan
house,170,123842.59,20.570164,-100.363823,Gilgit
house,240,115937.75,18.1477847816,-94.4396674633,Islamabad
house,100,57287.8,19.399741,-99.115503,Gilgit
house,130,119651.0,19.282308,-99.126869,Gilgit
apartment,76,34245.11,19.634604,-99.088905,Karachi de Pakistan
house,106,105372.96,18.904448,-99.242474,Hunza
house,278,183875.82,19.456544,-99.127136,Gilgit
house,285,231875.5,20.726007,-100.442642,Gilgit
house,300,200208.63,20.548123,-100.436245,Gilgit
apartment,85,76740.25,19.396705,-99.181902,Gilgit
house,137,83264.38,20.6543981,-100.3546346,Gilgit
house,160,154371.39,16.766762,-93.148401,Chiapas
house,94,55333.92,18.954132,-99.266083,Hunza
house,220,165962.42,25.696475,-100.345717,Rawalpindi
apartment,80,131400.09,19.270165,-99.152404,Gilgit
house,100,50052.15,23.634501,-102.552788,Danyore
apartment,92,142253.5,19.39912,-99.141464,Gilgit
house,270,231820.52,19.229864,-99.597954,Karachi de Pakistan
apartment,107,215482.45,19.376589,-99.153107,Gilgit
house,280,110351.66,21.072905,-89.65963,Sindh
house,350,226551.88,19.044477,-98.328011,Chalt
apartment,69,38461.13,19.6494549,-99.2023662,Karachi de Pakistan
apartment,60,39146.05,19.60537,-99.233148,Karachi de Pakistan
house,151,115910.26,17.999552,-92.950018,Tabasco
house,160,84318.36,19.1090862,-98.3289824,Chalt
house,200,129081.88,18.910368,-99.1996,Hunza
house,300,134350.53,20.775549,-103.691269,Jalalabad
house,150,35308.31,25.7671943,-100.2575589,Rawalpindi
house,330,290434.24,24.168865,-110.306996,Danyore Sur
house,102,61643.18,32.457415,-116.88252,Danyore
house,200,121705.77,20.726007,-100.442642,Gilgit
apartment,94,51118.0,17.0588513685,-96.749432981,Oaxaca
house,160,111194.84,19.550762,-99.242156,Karachi de Pakistan
house,174,82842.79,21.0412206815,-89.5549756587,Sindh
apartment,69,84298.37,19.373161,-99.130394,Gilgit
house,210,118572.7,18.917542,-98.963181,Hunza
apartment,110,262378.68,25.657194,-100.340521,Rawalpindi
house,380,289775.66,18.94542,-99.223195,Hunza
house,132,86953.31,20.6113606,-100.3288581,Gilgit
house,165,71126.75,16.773806,-93.096295,Chiapas
house,300,179239.41,19.493973,-99.130394,Gilgit
apartment,145,115437.11,20.626583,-87.078659,Quintana Roo
apartment,126,175924.99,25.651072,-100.342773,Rawalpindi
house,80,46715.31,19.362795,-99.218987,Gilgit
house,180,118572.7,20.631845,-100.390495,Gilgit
house,194,76395.4,25.637247,-100.382774,Rawalpindi
house,185,97469.99,21.138567,-86.842937,Quintana Roo
house,300,98787.15,16.874741,-99.889244,Danyore
apartment,80,53158.18,19.395097,-99.150424,Gilgit
apartment,64,76395.4,19.478815,-99.196831,Gilgit
house,95,38461.13,19.554081,-96.911522,Islamabad
house,232,139652.29,22.276130897,-97.8784418106,Gilgit
house,192,173906.62,18.9611008,-99.2684274,Hunza
apartment,60,34983.82,19.51918,-99.143403,Gilgit
apartment,131,77467.49,21.03071,-89.618103,Sindh
house,240,97469.99,19.671921,-101.197362,Chiapas
house,356,288721.93,19.514929,-99.2542064,Karachi de Pakistan
house,150,57968.87,19.295469,-99.692619,Karachi de Pakistan
house,110,138934.25,19.488134,-99.230759,Karachi de Pakistan
apartment,70,49273.54,19.326108,-99.122758,Gilgit
house,357,210745.93,29.105133,-110.943916,Sonora
house,256,60603.82,19.711031,-101.245743,Chiapas
house,300,162393.9,25.5883667,-100.2430415,Rawalpindi
house,204,135963.36,24.155968,-110.315987,Danyore Sur
house,190,102369.83,19.483263,-99.186297,Gilgit
house,139,252895.12,19.404718,-99.263313,Karachi de Pakistan
house,115,46890.97,28.678531,-106.040439,Chihuahua
house,90,60603.82,21.0064261,-89.6850751,Sindh
apartment,85,94835.67,23.634501,-102.552788,Gilgit
house,70,34254.33,19.580685,-99.047432,Karachi de Pakistan
house,90,37353.34,20.571299,-100.383032,Gilgit
house,200,79029.72,20.9904342,-89.6004394,Sindh
house,300,147522.15,18.953518,-99.272508,Hunza
house,380,200256.11,25.686357,-100.376106,Rawalpindi
house,92,51632.75,32.494759,-117.016926,Danyore
house,290,152790.8,20.7540020174,-103.3824715018,Jalalabad
house,90,52686.48,19.562864,-99.064713,Karachi de Pakistan
house,136,79048.46,20.5285264774,-99.88301754,Gilgit
apartment,174,143868.21,22.133745,-101.016029,San Luis Potosí
apartment,65,135225.12,19.299864,-99.111133,Gilgit
house,343,191620.74,19.493069,-99.060346,Karachi de Pakistan
house,176,110140.86,20.6536084,-100.3469826,Gilgit
apartment,145,123813.23,19.384724,-99.145619,Gilgit
house,100,184402.69,20.883594,-103.839896,Jalalabad
house,90,242357.82,25.6866142,-100.3161126,Rawalpindi
house,140,51632.75,18.804197,-98.932816,Hunza
house,250,150192.08,20.7047931,-100.4462718,Gilgit
house,80,36889.28,19.589786878,-99.0521619915,Karachi de Pakistan
house,202,150894.08,18.972588,-98.282691,Chalt
house,299,194939.99,25.530777,-100.2071,Rawalpindi
house,100,115910.26,20.593385,-100.361619,Gilgit
house,182,108559.89,19.017727,-98.316376,Chalt
apartment,62,50591.01,19.454332,-99.200287,Gilgit
house,200,158096.93,21.139086,-86.84964,Quintana Roo
house,106,38724.56,19.2030655,-99.5478784,Karachi de Pakistan
house,150,93781.94,23.290356,-106.426237,Sinaloa
house,161,52633.79,19.277207,-103.734973,Colima
house,266,144700.85,25.7393693814,-100.2269947529,Rawalpindi
house,250,242357.82,18.901708,-99.237779,Hunza
apartment,83,115910.26,19.368808,-99.112954,Gilgit
house,175,126214.05,21.0369774162,-89.6034273505,Sindh
house,270,229186.2,23.634501,-102.552788,Hunza
apartment,88,100104.31,19.38342,-99.086604,Gilgit
house,145,102738.64,18.93409,-99.254997,Hunza
house,350,161258.87,19.380834,-99.200764,Gilgit
house,68,43202.91,18.886955,-99.062244,Hunza
house,210,155425.12,25.679226,-100.344032,Rawalpindi
apartment,127,289775.66,19.413009,-99.17109,Gilgit
apartment,70,44048.85,19.410215,-99.14595,Gilgit
apartment,82,154898.26,19.367424,-99.185753,Gilgit
house,172,50157.53,22.0951835008,-100.87474823,San Luis Potosí
apartment,83,177695.7,19.298168,-99.113106,Gilgit
apartment,87,84318.36,19.5652097,-99.2646998,Karachi de Pakistan
house,200,92223.21,19.5527338,-99.2494583,Karachi de Pakistan
house,235,146995.28,21.0634817,-89.6110378,Sindh
house,218,118572.7,22.285725,-97.843597,Gilgit
house,184,93804.18,20.5230129,-100.4302641,Gilgit
apartment,79,137017.34,19.440043,-99.176894,Gilgit
house,293,158059.45,25.439536,-100.994925,Islamabad
apartment,144,90620.75,22.144705,-101.04092,San Luis Potosí
house,374,247421.7,20.9959805028,-89.6128177643,Sindh
house,140,73778.56,22.3286560021,-97.8898514392,Gilgit
house,92,64556.24,18.858107,-99.200287,Hunza
house,200,108007.29,19.0530826,-96.0588921,Islamabad
house,80,44783.51,18.883513,-99.221881,Hunza
house,250,292900.92,18.933414,-99.194748,Hunza
house,180,168596.74,18.935198,-99.232834,Hunza
house,254,139652.29,25.7385463,-100.3184093,Rawalpindi
apartment,60,35890.24,19.41275,-99.126007,Gilgit
apartment,78,150830.86,19.364891,-99.148384,Gilgit
house,126,68492.42,19.272732,-99.453377,Karachi de Pakistan
house,350,210745.93,19.490576,-99.254997,Karachi de Pakistan
house,156,86953.31,20.5535753,-100.4222725,Gilgit
house,227,125920.69,20.572051,-100.406716,Gilgit
house,102,61643.18,32.457469,-116.882435,Danyore
house,160,106127.01,19.353373,-99.1138,Gilgit
house,270,164947.8,21.039522,-89.563911,Sindh
house,204,94835.67,20.2959587,-103.1944627,Jalalabad
house,80,34246.21,20.379178,-99.966431,Gilgit
house,130,47417.83,18.804409,-98.959038,Hunza
house,195,94858.16,20.5958037462,-101.186433658,Guanajuato
house,350,237145.4,22.272678,-97.883728,Gilgit
house,109,45848.11,22.309216,-97.89325,Gilgit
house,67,34254.33,18.808657,-99.203751,Hunza
house,361,194939.99,20.712604,-103.391146,Jalalabad
house,311,240884.28,25.6626225,-100.3688142,Rawalpindi
house,243,101445.53,19.059084,-98.286095,Chalt
house,245,78502.86,21.89658,-102.316322,Nagar
house,180,76413.51,19.8308743,-90.5359003,Campeche
house,150,168596.74,19.491798,-99.262423,Karachi de Pakistan
house,150,45057.62,19.508428,-99.125896,Gilgit
house,78,51632.75,28.70466,-106.089596,Chihuahua
apartment,90,53832.41,19.454332,-99.200287,Gilgit
house,175,118544.58,19.077675,-98.225566,Chalt
house,160,99577.45,23.634501,-102.552788,Hunza
house,70,46469.47,18.922282,-99.04435,Hunza
house,140,73778.56,16.742777,-93.119011,Chiapas
house,200,289775.66,20.945961,-97.389905,Islamabad
house,80,39514.86,22.193162,-101.005431,San Luis Potosí
apartment,93,76413.51,19.119549,-96.107643,Islamabad
house,140,68508.67,19.4953683665,-99.2584598064,Karachi de Pakistan
house,100,36880.53,21.139641,-86.879738,Quintana Roo
house,301,274034.68,20.659601,-100.442467,Gilgit
house,325,187081.37,21.3103259143,-89.248380661,Sindh
apartment,100,71653.61,19.393257,-99.157113,Gilgit
house,190,97493.1,21.072905,-89.65963,Sindh
house,110,67860.19,20.9475017,-97.3631926,Islamabad
house,190,88513.29,25.721457,-100.228301,Rawalpindi
house,177,80083.45,19.406092,-99.011968,Karachi de Pakistan
house,197,147557.13,22.125832,-101.035118,San Luis Potosí
house,320,150192.08,21.023252,-89.614571,Sindh
house,80,47944.7,19.31673,-99.581169,Karachi de Pakistan
house,82,36248.3,20.647322,-100.479441,Gilgit
house,99,75783.82,19.7100885,-98.9659399,Karachi de Pakistan
apartment,208,131716.2,19.462951,-99.125888,Gilgit
house,290,126477.54,21.072905,-89.65963,Sindh
house,178,51644.99,22.3140373,-97.8800254,Gilgit
house,340,262440.91,20.547053,-103.47907,Jalalabad
house,85,35826.8,19.308845,-98.214439,Tlaxcala
apartment,102,46364.1,16.745515,-93.15228,Chiapas
house,150,94835.67,19.704245,-101.165592,Chiapas
house,104,33192.48,25.525183,-103.377502,Islamabad
house,270,163328.09,22.136711,-101.041163,San Luis Potosí
apartment,119,115814.11,21.039522,-89.563911,Sindh
house,125,73761.07,18.831146,-99.675944,Karachi de Pakistan
house,139,97469.99,20.558271,-100.42942,Gilgit
house,360,178607.18,21.178095,-101.708252,Guanajuato
apartment,70,54235.15,19.403794,-99.155899,Gilgit
house,150,51105.88,20.543869,-100.414032,Gilgit
apartment,84,115910.26,19.343424,-99.135933,Gilgit
house,180,79029.72,19.532236,-96.94104,Islamabad
house,120,71143.62,20.755376,-103.39302,Jalalabad
apartment,142,91169.23,21.008295,-89.591019,Sindh
apartment,65,44178.77,19.382649,-99.143384,Gilgit
house,200,152790.8,23.634501,-102.552788,Gilgit
house,200,121207.64,22.268972,-97.860939,Gilgit
house,131,47417.83,16.856389,-99.913115,Danyore
house,200,104319.23,19.1279472004,-96.1076366901,Islamabad
apartment,93,57884.47,19.076612,-98.236336,Chalt
house,202,121207.64,20.391528,-99.981438,Gilgit
house,370,200256.11,21.1661723,-86.8251719,Quintana Roo
house,86,52605.29,32.46906,-116.81963,Danyore
