property_type,state,lat,lon,area_m2,price_usd
house,KPK,21.0231861,-89.5863038,253,"$129,639.48"
apartment,Jalalabad,19.39365,-99.14769,128,"$120,125.18"
house,Karachi,25.569582,-103.33239,350,"$158,059.45"
house,Hunza,,,240,"$210,745.93"
house,Karachi,25.581369,-103.377648,133,"$51,632.75"
house,Hunza,,,220,"$263,494.89"
house,Nager,19.0412967,-98.2061996,250,"$155,461.98"
house,Jalalabad,19.390301,-99.11161,187,"$126,447.56"
apartment,Nager,,,106,"$149,755.74"
house,Karachi,19.101803,-96.163884,127,"$51,662.25"
apartment,Nager,19.026517,-98.214364,102,"$97,598.50"
house,Jalisco,23.634501,-102.552788,107,"$57,955.13"
house,KPK,21.075163,-89.516731,242,"$108,534.15"
house,Jalalabad,19.3605334,-99.2267067,245,"$247,626.47"
apartment,Jalalabad,19.351369,-99.248993,90,"$86,300.46"
apartment,Jalalabad,19.412142,-99.146127,75,"$44,794.13"
apartment,Nager,18.987232,-98.206947,93,"$40,841.70"
apartment,San Luis Potosí,,,155,"$144,922.18"
house,Gilgit,19.715134,-99.214828,126,"$95,309.84"
house,Jalalabad,19.374069,-99.01932,300,"$150,719.07"
house,San Luis Potosí,22.133745,-101.016029,132,"$81,683.41"
house,Hunza,18.804197,-98.932816,130,"$65,858.10"
apartment,KPK,21.0294432,-89.6322061,237,"$192,087.77"
house,Danyore,24.8093254,-107.4692179,96,"$60,603.82"
apartment,Jalalabad,19.33923,-99.218987,102,"$237,089.17"
house,Baja California,32.493049,-116.907481,76,"$41,095.45"
house,Hidalgo,20.1254846,-98.7362998,229,"$158,096.93"
house,Hunza,18.960244,-99.212962,305,"$227,351.46"
house,Nager,23.634501,-102.552788,128,"$67,438.69"
house,Gilgit,19.53808025,-99.23847934,240,"$136,984.85"
house,Quintana Roo,21.129547,-86.817017,135,"$93,781.94"
house,Sindh,25.5683841,-100.2439723,320,"$205,477.28"
house,Chiapas,,,96,"$56,756.79"
house,Gilgit,,,268,"$226,605.60"
apartment,Tamaulipas,22.217112,-97.854477,170,"$43,887.84"
house,Islamabad,16.860338,-99.870399,168,"$94,835.67"
house,Karachi,,,180,"$97,469.99"
house,Karachi,19.109509,-96.111477,220,"$105,372.96"
house,Islamabad,16.771518,-99.772466,180,"$79,029.72"
house,Kashmir,23.634501,-102.552788,250,"$176,499.72"
apartment,KPK,21.0307114,-89.6181018,157,"$81,630.71"
house,Kashmir,20.6536084,-100.3469826,128,"$105,372.96"
house,Gilgit,19.650003,-99.220367,135,"$126,477.54"
house,Hidalgo,,,176,"$71,390.18"
house,Sindh,25.708134,-100.145821,60,"$34,254.33"
house,Sindh,25.751371,-100.238281,185,"$72,707.34"
apartment,Jalalabad,19.351371,-99.161529,60,"$35,563.37"
house,Jalalabad,19.298899,-99.208048,300,"$207,057.88"
house,Karachi,25.581989,-103.378005,220,"$76,395.40"
house,Tamaulipas,26.074236,-98.349915,200,"$126,447.56"
house,Quintana Roo,21.15048247,-86.81568548,261,"$216,014.58"
apartment,Jalalabad,,,81,"$42,149.18"
house,Jalisco,20.785506,-103.442286,98,"$52,423.05"
apartment,Jalalabad,19.374421,-99.13907,72,"$118,386.52"
house,KPK,20.99947,-89.642815,211,"$63,238.77"
house,Kashmir,,,128,"$50,052.15"
house,Gilgit,19.533243,-99.227295,200,"$173,865.39"
house,Kashmir,20.705742,-100.444016,300,"$226,551.88"
house,Sonora,29.058504,-110.978981,185,"$34,254.33"
house,Nager,18.99466,-98.2761016,178,"$139,652.29"
house,Danyore,24.754314,-107.402241,280,"$84,298.37"
house,Nager,,,247,"$121,178.91"
house,Gilgit,19.544106,-99.112656,131,"$68,492.42"
house,Kashmir,,,350,"$221,283.23"
house,Chihuahua,28.6329957,-106.0691004,115,"$63,238.77"
house,KPK,20.99214914,-89.5655331,121,"$65,873.72"
house,San Luis Potosí,22.141575,-100.900192,108,"$50,591.01"
house,Jalalabad,19.499857,-99.097517,300,"$126,447.56"
apartment,Jalalabad,19.381729,-99.164986,80,"$142,253.50"
house,Hunza,18.942068,-99.242531,290,"$242,415.29"
house,Nager,19.087196,-98.288637,148,"$72,707.34"
house,Karachi,19.1616453,-96.154687,290,"$147,557.13"
house,Nager,18.989595,-98.203529,200,"$150,192.08"
house,Hunza,18.917542,-98.963181,220,"$110,641.61"
apartment,San Luis Potosí,,,167,"$166,001.78"
house,KPK,20.9993534,-89.5910162,192,"$86,953.31"
house,Gilgit,,,207,"$152,827.03"
house,Baja California Sur,24.14994473,-110.3169306,176,"$131,747.44"
apartment,Kashmir,,,104,"$108,454.49"
apartment,Jalalabad,19.384533,-99.183172,120,"$189,716.32"
house,Jalalabad,19.317922,-99.236124,350,"$176,499.72"
house,Gilgit,19.696592,-99.231445,87,"$152,000.50"
apartment,Jalalabad,19.38250406,-99.15803991,78,"$137,017.34"
apartment,Jalalabad,19.401819,-99.184615,75,"$78,502.86"
house,Nager,18.998509,-98.179484,200,"$102,738.64"
apartment,San Luis Potosí,22.1418,-101.027344,114,"$88,270.78"
house,KPK,21.072905,-89.65963,266,"$111,721.83"
house,Sindh,25.6318511,-100.170963,204,"$51,644.99"
house,Gilgit,19.283869,-99.588992,70,"$57,006.77"
house,Jalisco,20.532827,-103.483829,155,"$110,641.61"
house,Hunza,18.918608,-98.941094,247,"$142,287.24"
apartment,Jalisco,20.649012,-103.448288,88,"$82,875.83"
house,KPK,21.030668,-89.599258,175,"$120,944.15"
house,Zacatecas,23.634501,-102.552788,170,"$89,567.02"
apartment,Jalalabad,19.380937,-99.179545,98,"$197,100.13"
apartment,Gilgit,19.559799,-99.233795,60,"$34,599.16"
house,KPK,21.072905,-89.65963,127,"$47,417.83"
house,Jalalabad,19.367215,-99.222138,180,"$116,173.69"
house,Nager,,,320,"$255,529.44"
house,Nager,19.044477,-98.328011,326,"$326,733.66"
house,Karachi,18.134026,-94.476112,210,"$247,626.47"
house,Karachi,25.572505,-103.425036,330,"$121,178.91"
house,Chiapas,,,300,"$94,835.67"
house,Gilgit,19.290517,-99.694921,157,"$105,372.96"
house,Jalisco,20.788616,-103.435217,156,"$123,813.23"
apartment,Sindh,25.6526883,-100.4122654,101,"$160,866.42"
house,Sindh,25.680067,-100.458626,336,"$142,253.50"
house,Gilgit,19.305643,-98.901535,120,"$42,159.18"
house,Gilgit,19.684991,-99.225298,60,"$37,670.83"
house,KPK,21.008295,-89.591019,282,"$123,052.11"
apartment,Islamabad,16.8572859,-99.9089643,130,"$104,870.96"
house,San Luis Potosí,22.093321,-100.895958,110,"$46,840.27"
house,Nager,23.634501,-102.552788,156,"$94,835.67"
house,San Luis Potosí,22.1387477,-101.0181525,200,"$97,469.99"
house,Gilgit,19.428043,-99.227384,309,"$306,529.96"
house,Hidalgo,20.059217,-98.790423,200,"$136,984.85"
house,KPK,21.292982,-89.603973,100,"$139,652.29"
house,Hunza,18.903454,-99.056687,145,"$89,567.02"
house,Jalalabad,19.411699,-99.166247,120,"$230,874.80"
house,Hunza,18.89179165,-99.22272205,183,"$147,557.13"
house,KPK,21.0424858,-89.5568382,107,"$50,579.02"
apartment,Kashmir,20.711874,-100.448934,140,"$102,211.77"
apartment,Jalalabad,19.428152,-99.106194,67,"$79,029.72"
house,Gilgit,19.234822,-99.559659,115,"$105,372.96"
house,Gilgit,19.558449,-99.22973,180,"$67,965.56"
house,Chihuahua,28.652079,-106.109581,227,"$110,641.61"
house,Hidalgo,,,175,"$80,629.43"
house,Sindh,25.707024,-100.21376,250,"$110,667.85"
house,Aguascalientes,21.878481,-102.332787,215,"$136,490.35"
house,Karachi,19.155567,-96.13928,165,"$60,589.45"
house,Hidalgo,20.05687984,-98.76537555,200,"$68,508.67"
house,Sindh,25.634661,-100.295769,242,"$76,413.51"
apartment,Jalalabad,19.367931,-99.170262,120,"$120,652.04"
house,Jalalabad,19.360526,-99.301674,220,"$87,703.06"
house,Jalalabad,19.464398,-99.113317,304,"$259,470.39"
house,Nager,19.01195,-98.219383,385,"$237,089.17"
house,KPK,,,110,"$47,154.40"
apartment,KPK,21.2929822,-89.6039725,255,"$236,144.12"
house,Jalalabad,19.351396,-99.130999,225,"$237,089.17"
house,Hunza,18.93409,-99.254997,218,"$143,530.93"
house,Kashmir,20.6990975,-100.4705682,276,"$131,747.44"
house,KPK,21.030668,-89.599258,100,"$79,029.72"
house,Danyore,,,137,"$76,202.72"
house,KPK,20.996355,-89.583946,201,"$92,223.21"
house,Nager,18.983141,-98.265739,135,"$42,149.18"
house,Gilgit,19.2826098,-99.6556653,90,"$56,387.90"
house,San Luis Potosí,,,164,"$89,324.76"
house,Tamaulipas,22.4107891,-97.9342897,176,"$60,603.82"
house,Jutail,18.263374,-93.179222,104,"$39,514.86"
house,Jalalabad,19.396669,-99.067626,220,"$110,050.31"
house,KPK,21.039522,-89.563911,174,"$65,858.10"
house,Gilgit,19.545097,-99.21289,233,"$171,306.94"
apartment,Nager,19.054064,-98.245911,95,"$84,318.36"
house,Gilgit,19.62378,-99.199085,153,"$108,007.29"
house,Danyore,23.240411,-106.432565,189,"$63,118.40"
apartment,Jalalabad,19.452331,-99.177162,90,"$73,234.21"
house,Quintana Roo,21.129547,-86.817017,275,"$173,865.39"
house,Hunza,,,170,"$57,955.13"
apartment,Jalalabad,19.342083,-99.0532159,86,"$90,115.25"
house,Sindh,25.702822,-100.304192,148,"$94,594.66"
apartment,Hunza,,,89,"$57,955.13"
house,Karachi,19.563358,-96.939697,110,"$39,524.23"
house,Karachi,19.205341,-96.197784,130,"$84,298.37"
house,KPK,21.0424858,-89.5568382,185,"$76,677.01"
apartment,Islamabad,16.829584,-99.9083,154,"$114,487.72"
house,Kashmir,20.726007,-100.442642,273,"$181,811.47"
house,San Luis Potosí,23.634501,-102.552788,187,"$94,308.80"
house,Jalalabad,19.395069,-99.204927,110,"$84,825.23"
apartment,Jalalabad,19.400004,-99.16735,94,"$217,911.29"
house,Jutail,17.979631,-92.965249,100,"$65,858.10"
house,Kashmir,20.5887932,-100.3898881,84,"$49,537.03"
house,KPK,21.006756,-89.570984,162,"$76,413.51"
house,KPK,21.013465,-89.591041,239,"$283,558.65"
house,Chiapas,19.671066,-101.213341,175,"$92,201.34"
house,Karachi,18.1495073,-94.4422,200,"$158,096.93"
house,Sindh,25.7418083,-100.4057781,211,"$124,501.99"
house,KPK,20.968147,-89.629875,123,"$41,095.45"
house,Tamaulipas,22.2621259,-97.8238578,141,"$78,502.86"
house,Karachi,,,100,"$79,029.72"
house,Jalisco,20.767952,-103.40899,148,"$96,363.57"
house,Karachi,,,165,"$68,508.67"
house,Hunza,18.795519,-99.231445,150,"$67,438.69"
apartment,Jalalabad,19.449392,-99.138544,70,"$42,676.05"
apartment,Quintana Roo,21.15640821,-86.84881411,95,"$68,508.67"
house,Tamaulipas,22.3160889,-97.8884841,165,"$76,940.50"
apartment,Jalalabad,19.486255,-99.214043,65,"$46,890.97"
apartment,Karachi,,,250,"$94,835.67"
apartment,Jalalabad,19.36594,-99.163153,85,"$106,848.18"
house,Karachi,19.146434,-96.161783,91,"$42,149.18"
house,Chihuahua,,,187,"$73,778.56"
apartment,Jalalabad,,,81,"$161,826.53"
apartment,Islamabad,,,155,"$123,842.59"
house,Kashmir,,,270,"$163,366.83"
house,KPK,21.035221,-89.635757,204,"$93,781.94"
house,Islamabad,16.86432868,-99.88790821,170,"$115,937.75"
house,Kashmir,20.726007,-100.442642,180,"$109,324.45"
house,Danyore,23.261934,-106.408936,124,"$67,702.13"
house,Quintana Roo,21.139086,-86.84964,66,"$36,880.53"
house,Karachi,25.535524,-103.379302,276,"$63,223.78"
house,Nager,,,262,"$173,865.39"
house,KPK,21.0043658,-89.5614233,79,"$36,889.28"
apartment,Jalalabad,19.364613,-99.161892,70,"$93,255.07"
apartment,Jalalabad,19.366505,-99.222297,72,"$64,281.19"
house,Karachi,,,146,"$46,902.09"
house,Kashmir,20.6521079,-100.3491545,250,"$144,922.18"
house,KPK,21.03504976,-89.59907413,137,"$78,995.76"
apartment,Jalalabad,19.354947,-99.087529,65,"$37,386.32"
house,KPK,21.008295,-89.591019,142,"$91,169.23"
house,Kashmir,20.6476044,-100.35253,150,"$104,319.23"
house,KPK,21.030668,-89.599258,305,"$184,182.92"
house,Jalalabad,19.371317,-99.140957,300,"$123,981.30"
apartment,Karachi,19.1356101,-96.1142685,105,"$50,064.02"
apartment,Jalalabad,19.377169,-99.187643,90,"$56,514.99"
apartment,Jalalabad,19.381591,-99.165397,124,"$270,872.74"
apartment,Hunza,,,210,"$221,283.23"
house,San Luis Potosí,,,181,"$146,731.85"
house,KPK,21.039522,-89.563911,230,"$92,223.21"
house,Jalisco,20.755833,-103.413251,180,"$144,887.83"
house,Kashmir,,,121,"$84,237.78"
house,Karachi,,,108,"$41,358.88"
house,Gilgit,19.27223,-99.575691,300,"$184,446.42"
apartment,Karachi,19.191416,-96.127518,70,"$62,448.28"
house,San Luis Potosí,22.121187,-100.951736,154,"$57,968.87"
house,Jutail,17.987557,-92.929147,150,"$71,126.75"
house,Hunza,,,367,"$189,671.34"
house,Nager,,,120,"$78,091.53"
house,Gilgit,19.4653884,-99.5940417,70,"$39,524.23"
house,Hunza,18.8493694,-98.9479805,250,"$84,298.37"
house,KPK,21.05294348,-89.66792107,141,"$62,975.27"
house,Hunza,18.942068,-99.242531,320,"$289,844.37"
house,Islamabad,16.808875,-99.821739,104,"$102,738.64"
apartment,Gilgit,19.531773,-99.245873,174,"$326,656.19"
house,Tamaulipas,25.860595,-97.504808,212,"$71,126.75"
house,Guanajuato,21.1666103,-101.6315416,210,"$131,716.20"
house,Hunza,18.882006,-99.148384,240,"$100,104.31"
apartment,Nager,19.002178,-98.271063,87,"$173,986.78"
house,Gilgit,19.425918,-99.230123,300,"$215,222.62"
house,Colima,,,103,"$66,384.96"
house,Hunza,18.8736789,-99.1922665,257,"$188,398.84"
house,San Luis Potosí,22.186096,-101.005652,240,"$144,887.83"
house,Hunza,,,360,"$237,145.40"
house,KPK,21.075163,-89.516731,189,"$86,932.69"
house,Chihuahua,,,246,"$68,492.42"
house,Nager,18.984862,-98.222234,289,"$226,551.88"
apartment,Jalalabad,19.3650311,-99.1477363,83,"$139,652.29"
apartment,Hunza,18.917393,-99.221062,127,"$57,955.13"
house,Jalalabad,19.399375,-99.149986,95,"$246,994.23"
house,Baja California,32.5622552,-115.3169575,75,"$42,149.18"
apartment,Jalalabad,19.452689,-99.117987,60,"$36,269.27"
house,Jalalabad,19.336104,-99.101761,70,"$50,087.30"
house,Zacatecas,23.634501,-102.552788,138,"$63,223.78"
house,Karachi,,,140,"$55,320.80"
house,Jalisco,20.567506,-103.48332,149,"$110,588.92"
house,Naltar,20.722561,-105.270132,84,"$39,514.86"
house,Hunza,,,360,"$136,984.85"
apartment,Jalalabad,19.3987957,-99.1594498,110,"$274,034.68"
house,San Luis Potosí,22.1176283,-101.0151243,380,"$266,066.74"
house,KPK,21.006756,-89.570984,90,"$39,462.17"
house,Karachi,25.510739,-103.357425,140,"$39,514.86"
house,Tamaulipas,22.2695545,-97.8750355,140,"$71,301.71"
house,KPK,,,154,"$89,324.76"
house,Gilgit,19.3308425,-99.5817205,140,"$121,207.64"
house,Gilgit,19.2398293,-99.617673,332,"$242,415.29"
house,Gilgit,19.4689569,-99.2727792,372,"$144,887.83"
house,Hunza,18.917542,-98.963181,200,"$131,747.44"
house,Gilgit,,,230,"$78,502.86"
apartment,Sindh,,,132,"$259,350.11"
house,Jutail,17.97280546,-92.95154875,134,"$104,343.97"
house,Sindh,25.79255,-100.274638,159,"$74,972.86"
apartment,Jalalabad,19.3928136,-99.1738213,112,"$312,957.71"
house,Danyore,24.804811,-107.46476,95,"$47,417.83"
house,Aguascalientes,21.905983,-102.286817,157,"$41,622.32"
house,Hunza,18.900945,-99.232574,279,"$142,253.50"
house,Tamaulipas,22.2900902,-97.8437788,75,"$34,254.33"
apartment,Jalalabad,19.375374,-99.137657,80,"$34,077.61"
house,Sindh,25.660711,-100.289459,222,"$118,544.58"
house,Guanajuato,,,216,"$94,858.16"
apartment,Nager,19.02065826,-98.22384596,100,"$103,606.19"
house,KPK,20.96083848,-89.62156874,160,"$52,159.61"
apartment,Jalalabad,19.409369,-99.171906,83,"$263,494.89"
house,Gilgit,,,110,"$141,726.64"
house,Sindh,25.7584835,-100.4052434,131,"$92,023.21"
house,Sindh,25.712547,-100.249496,210,"$83,000.89"
house,KPK,21.05119626,-89.53858227,168,"$80,112.98"
house,Nager,,,260,"$200,256.11"
house,Nager,19.09276402,-98.22678055,100,"$51,644.99"
house,Chiapas,,,212,"$252,895.12"
house,Jalisco,20.792152,-103.475021,104,"$39,514.86"
house,Guanajuato,21.121012,-101.600136,207,"$121,207.64"
house,Hunza,,,302,"$197,621.16"
house,San Luis Potosí,22.18307725,-101.0302325,92,"$34,781.32"
apartment,Jalalabad,19.404032,-99.179694,103,"$209,902.95"
house,Chiapas,,,168,"$84,298.37"
house,Hunza,18.814863,-99.211439,97,"$68,492.42"
apartment,Jalalabad,19.368544,-99.163605,105,"$284,507.01"
house,Nager,19.0550344,-98.2731403,330,"$189,716.32"
house,KPK,21.04307817,-89.55160305,190,"$89,061.27"
house,Gilgit,19.699144,-98.978363,180,"$68,492.42"
apartment,Jalalabad,19.341894,-99.224525,96,"$156,958.30"
house,Kashmir,20.596285,-100.357695,300,"$144,887.83"
apartment,Islamabad,,,141,"$100,128.05"
apartment,Nager,19.035632,-98.223132,92,"$109,587.88"
house,Nager,19.0217424,-98.2604216,215,"$155,461.98"
house,Chiapas,19.987465,-102.284888,330,"$210,745.93"
apartment,Hunza,18.957352,-99.260544,76,"$52,698.97"
house,Hunza,18.845494,-99.20547,136,"$71,765.83"
apartment,Jalalabad,19.366901,-99.297272,65,"$109,387.67"
house,San Luis Potosí,22.18408015,-101.0286072,110,"$39,830.98"
house,Gilgit,19.615452,-99.206348,70,"$47,681.26"
house,Gilgit,19.590134,-99.280419,100,"$44,783.51"
house,Jalalabad,19.473907,-99.177444,320,"$91,042.24"
house,San Luis Potosí,22.149093,-100.889863,180,"$45,321.12"
house,Gilgit,,,326,"$200,203.41"
house,Gilgit,19.641889,-99.1774462,250,"$79,048.46"
house,Karachi,19.089373,-96.130805,168,"$94,835.67"
house,Kashmir,20.606224,-100.329168,165,"$97,469.99"
house,KPK,21.001256,-89.600723,325,"$183,296.27"
house,Hunza,,,180,"$69,562.65"
apartment,Hunza,,,205,"$131,747.44"
apartment,Sindh,25.7302897,-100.3965403,160,"$104,497.22"
house,Hunza,,,225,"$42,043.81"
house,Nager,19.004742,-98.235992,180,"$63,223.78"
house,Hunza,18.920158,-99.180214,85,"$48,734.99"
house,Hunza,18.916586,-99.214371,272,"$262,967.90"
house,Nager,19.063091,-98.296013,252,"$130,873.22"
apartment,Jalalabad,19.371321,-99.140985,84,"$93,465.82"
apartment,Nager,19.0378006,-98.3007086,120,"$166,001.78"
apartment,Jalalabad,19.362824,-99.266178,162,"$210,745.93"
house,Chiapas,16.780325,-93.119637,180,"$105,372.96"
house,KPK,21.039522,-89.563911,178,"$60,076.83"
apartment,Jalalabad,19.465454,-99.162665,69,"$75,375.18"
house,Jalisco,20.700756,-103.333385,300,"$94,308.80"
house,Baja California Sur,22.886851,-109.946872,94,"$50,485.62"
house,Kashmir,20.549404,-100.378563,110,"$76,395.40"
house,Jalalabad,19.353288,-99.244721,150,"$136,405.30"
house,Gilgit,19.278994,-99.559006,136,"$89,567.02"
house,Nager,18.985191,-98.186447,148,"$105,372.96"
apartment,Jalisco,20.67603,-103.425418,125,"$157,479.90"
house,Guanajuato,,,330,"$280,818.95"
house,Karachi,,,240,"$89,588.26"
apartment,Islamabad,16.87630091,-99.88293272,88,"$39,260.73"
house,Naltar,21.525436,-104.923553,115,"$47,429.08"
apartment,Chiapas,16.748743,-93.066491,73,"$43,202.91"
apartment,Jalalabad,19.432657,-99.177444,150,"$135,085.08"
house,Kashmir,20.618279,-100.346985,160,"$99,601.06"
house,Gilgit,19.72876,-99.461708,236,"$237,145.40"
house,Karachi,25.51506,-103.413092,230,"$44,783.51"
house,Chiapas,,,72,"$39,514.86"
house,Kashmir,20.419854,-99.998039,89,"$40,568.59"
house,Hunza,18.804197,-98.932816,117,"$65,858.10"
apartment,San Luis Potosí,22.133104,-100.982117,100,"$53,740.21"
apartment,Jalalabad,19.400249,-99.177444,150,"$273,969.71"
house,Jalalabad,,,60,"$63,223.78"
house,KPK,21.03071,-89.618103,382,"$223,970.65"
house,Jalisco,20.649154,-105.202538,90,"$33,719.34"
house,Baja California,32.426032,-117.033916,140,"$62,570.46"
house,Tamaulipas,26.058614,-98.322969,252,"$66,933.76"
house,Karachi,25.599048,-103.412397,189,"$64,277.51"
house,Baja California Sur,24.129181,-110.31971,110,"$68,492.42"
house,Tamaulipas,22.238298,-97.841892,200,"$110,641.61"
house,Nager,19.046561,-98.190349,110,"$100,735.92"
apartment,Jalalabad,19.451872,-99.173522,70,"$66,911.83"
house,Gilgit,19.253367,-99.606303,260,"$324,021.87"
house,Sonora,29.0287123,-110.97103,200,"$47,417.83"
apartment,Jalalabad,19.45569471,-99.16357613,76,"$121,355.20"
house,Jalisco,20.7670434,-103.3941011,195,"$135,931.12"
apartment,Jalalabad,19.336195,-99.23692,100,"$74,920.17"
apartment,Nager,,,212,"$282,821.04"
house,San Luis Potosí,22.1564699,-100.9855409,110,"$39,524.23"
apartment,Hunza,,,124,"$152,790.80"
house,KPK,21.0634817,-89.6110378,296,"$137,017.34"
house,KPK,21.135925,-89.6446768,200,"$79,029.72"
house,Kashmir,20.547818,-100.407691,80,"$51,632.75"
house,Hunza,18.954132,-99.266083,210,"$86,932.69"
house,Quintana Roo,21.152508,-86.850891,180,"$89,040.15"
house,Hunza,18.882725,-99.163605,112,"$86,953.31"
house,Jutail,17.97423,-92.923836,60,"$34,246.21"
house,Chiapas,16.740764,-93.089951,148,"$84,298.37"
house,Sindh,25.764894,-100.264221,160,"$65,858.10"
apartment,Kashmir,20.60782,-100.366721,110,"$131,716.20"
house,Jalalabad,19.469688,-99.085456,248,"$176,541.57"
apartment,Jalalabad,19.27112369,-99.20883894,72,"$40,645.77"
apartment,Jalisco,20.723133,-103.418115,84,"$178,080.31"
apartment,Jalalabad,,,72,"$84,318.36"
house,Chiapas,16.76764,-93.178283,250,"$173,865.39"
house,KPK,20.9673702,-89.5925857,290,"$123,315.60"
house,KPK,21.017197,-89.574516,158,"$102,763.00"
house,Hunza,18.862602,-99.213448,320,"$173,906.62"
house,Karachi,19.123617,-96.113161,220,"$99,577.45"
house,Jalalabad,19.355938,-99.129918,200,"$315,618.38"
house,Baja California Sur,19.35913,-98.983431,189,"$62,696.91"
house,KPK,20.989016,-89.632225,300,"$131,747.44"
house,KPK,,,220,"$112,617.71"
house,Quintana Roo,,,81,"$45,321.12"
house,Karachi,25.453195,-100.935486,203,"$94,818.28"
house,KPK,20.938659,-89.615316,173,"$50,052.15"
house,Tamaulipas,22.270658,-97.849037,263,"$176,541.57"
house,Chiapas,16.78141,-93.096451,87,"$51,381.50"
apartment,Gilgit,,,157,"$216,014.58"
house,Chiapas,19.691938,-101.176615,220,"$155,425.12"
house,Gilgit,19.64079,-99.098691,105,"$68,492.42"
apartment,Nager,19.011347,-98.246264,139,"$179,134.04"
house,Jalisco,20.647029,-103.454953,122,"$77,975.99"
house,Hunza,18.905066,-99.224869,120,"$121,178.91"
house,Karachi,19.06681288,-96.07347608,271,"$173,865.39"
house,Jalalabad,,,308,"$191,283.81"
house,Kashmir,20.705742,-100.444016,350,"$184,446.42"
house,Gilgit,19.54323,-99.222374,181,"$154,950.94"
house,Danyore,24.8090649,-107.3940117,212,"$112,222.21"
house,Tamaulipas,25.872879,-97.509221,287,"$115,910.26"
house,Jalalabad,19.373264,-99.104161,250,"$135,430.60"
apartment,Jalalabad,19.383952,-99.160229,100,"$174,140.42"
house,Chiapas,16.757278,-93.134056,298,"$181,084.17"
house,Tamaulipas,22.320061,-97.86808,67,"$35,835.30"
house,Guanajuato,20.58343642,-101.1981905,180,"$131,747.44"
apartment,Jalalabad,19.396018,-99.147827,80,"$183,989.52"
house,Chiapas,19.646418,-101.238213,153,"$97,469.99"
house,Gilgit,19.5896123,-99.2907617,60,"$34,254.33"
house,Kashmir,20.631845,-100.390495,315,"$237,089.17"
house,Kashmir,,,180,"$120,125.18"
house,Baja California Sur,24.083153,-110.303329,65,"$33,358.45"
house,Karachi,19.144342,-96.139002,140,"$68,492.42"
house,Gilgit,19.272027,-99.553293,107,"$71,653.61"
house,Sonora,,,301,"$135,404.26"
house,Baja California,,,61,"$38,461.13"
house,Hidalgo,20.1010608,-98.7591311,320,"$192,305.66"
house,Karachi,18.1495449,-94.5140773,104,"$57,955.13"
apartment,Jalalabad,19.333901,-99.240356,85,"$179,134.04"
apartment,Jalalabad,19.390031,-99.174182,108,"$209,692.20"
house,Sindh,25.781807,-100.187794,155,"$65,858.10"
apartment,Jalalabad,,,170,"$289,775.66"
house,Kashmir,20.7012562,-100.4654217,295,"$187,081.37"
apartment,Jalalabad,19.365834,-99.263505,126,"$180,187.77"
house,KPK,20.9637793,-89.6612548,249,"$44,783.51"
apartment,Gilgit,19.404701,-99.292419,300,"$284,047.49"
house,Karachi,18.879525,-96.921847,123,"$55,320.80"
house,Nager,18.978682,-98.250015,162,"$88,513.29"
house,Kashmir,20.6205869,-100.388042,322,"$209,955.63"
house,Hunza,,,186,"$100,104.31"
